img,What_does_the_text_on_image_say?,How_many_people_are_in_the_image?,Can_you_summarize_the_image_in_brief?,task
1363202047416414208.jpg,don't plan ahead why didn't you give me the notes i needed,There are two people in the image.,"The image depicts a woman sitting at a table with a cup of coffee and a pen in hand. She is writing on a piece of paper with the caption, ""Do Planned Parenthood? Why don't you give moms a break?"".",abortion
1367169410201452544.jpg,u s capitol,There are no people in the image.,"The image features an american flag fluttering in front of the U.S. Capitol building, which is located in Washington, D.C., at sunset. The building is a prominent landmark in the city, and the flag represents the country's history and values.",abortion
1280995663657009153.jpg,artificial contraception is most often just another destroyed,There are two people in the image.,a poster with an image of jesus christ and a baby,abortion
1234569351396806657.jpg,i am a history mover maker,There are four people in the image.,"The image shows a group of women holding signs in front of a wall that reads, ""I am a history mover maker."" They are holding the signs in front of a wall that reads, ""I am a history mover maker."" One of the women holds a sign that reads, ""I am a history mover maker."" The other woman holds a sign that reads, ""I am a history mover maker.""",abortion
1357147012886626306.jpg,an image of a text that reads 'i have a problem with my personal information',There are no people in the image.,a text message on a phone with a pink background,abortion
1205603914239877120.jpg,Abortion Myth Millions of women died in back alley abortions,There are no people in the image.,an image of an alley with a sign that says abortion myth.,abortion
1351585845917184001.jpg,when women with unplanned pregnancies do not have access to safety they risk the death,There are no people in the image.,a quote about women with unplanned pregnancies,abortion
1359047077951664128.jpg,baby in the womb reacts to being injected,There are no people in the image.,the baby in the womb reacts to being injected,abortion
1180483277431422977.jpg,The Father of a Child,There are two people in the image.,the father of a child is the single most important pregnancy decision,abortion
1276074025589116931.jpg,vote for kathleen shirley,There are two people in the image.,"The woman in the image is wearing a surgical mask and holding a box with a poster of a candidate. She is standing on a sidewalk and holding the poster, indicating that she is a candidate for a political office.",abortion
1179053421191671814.jpg,The Horror of Abortion,There are no people in the image.,the horror of abortion book cover,abortion
1152814383082430472.jpg,"Two women holding a sign that reads one pregnancy, two hearts.",There are two people in the image.,two women holding a sign that says one pregnancy heartbeats,abortion
